Site,Location,File,Date,Time,#Flowers,#Number,Insect,#Minutes,#Minutes2,#Minutes3,#Minutes 4
c1.1,Loc1,c1.1_20170619_170300.jpg,20170619,1703,2,,,,,,
c1.1,Loc1,c1.1_20170619_170400.jpg,20170619,1704,2, ,,,,,
c1.1,Loc1,c1.1_20170619_170500.jpg,20170619,1705,2,1,,1,,,
c1.1,Loc1,c1.1_20170619_170600.jpg,20170619,1706,2,,,,,,
c1.1,Loc1,c1.1_20170619_170700.jpg,20170619,1707,2,,,,,,
c1.1,Loc1,c1.1_20170619_170800.jpg,20170619,1708,2,,,,,,
c1.1,Loc1,c1.1_20170619_170900.jpg,20170619,1709,2,,,,,,
c1.1,Loc1,c1.1_20170619_171000.jpg,20170619,1710,2,,,,,,
c1.1,Loc1,c1.1_20170619_171100.jpg,20170619,1711,2,,,,,,
c1.1,Loc1,c1.1_20170619_171200.jpg,20170619,1712,2,,,,,,
c1.1,Loc1,c1.1_20170619_171300.jpg,20170619,1713,2,,,,,,
c1.1,Loc1,c1.1_20170619_171400.jpg,20170619,1714,2,,,,,,
c1.1,Loc1,c1.1_20170619_171500.jpg,20170619,1715,2,,,,,,
c1.1,Loc1,c1.1_20170619_171600.jpg,20170619,1716,2,,,,,,
c1.1,Loc1,c1.1_20170619_171700.jpg,20170619,1717,2,,,,,,
c1.1,Loc1,c1.1_20170619_171800.jpg,20170619,1718,2,,,,,,
c1.1,Loc1,c1.1_20170619_171900.jpg,20170619,1719,2,,,,,,
c1.1,Loc1,c1.1_20170619_172000.jpg,20170619,1720,2,,,,,,
c1.1,Loc1,c1.1_20170619_172100.jpg,20170619,1721,2,1,,1,,,
c1.1,Loc1,c1.1_20170619_172200.jpg,20170619,1722,2,,,,,,
c1.1,Loc1,c1.1_20170619_172300.jpg,20170619,1723,2,,,,,,
c1.1,Loc1,c1.1_20170619_172400.jpg,20170619,1724,2,,,,,,
c1.1,Loc1,c1.1_20170619_172500.jpg,20170619,1725,2,1,,1,,,
c1.1,Loc1,c1.1_20170619_172600.jpg,20170619,1726,2,,,,,,
c1.1,Loc1,c1.1_20170619_172700.jpg,20170619,1727,2,,,,,,
c1.1,Loc1,c1.1_20170619_172800.jpg,20170619,1728,2,,,,,,
c1.1,Loc1,c1.1_20170619_172900.jpg,20170619,1729,2,,,,,,
c1.1,Loc1,c1.1_20170619_173000.jpg,20170619,1730,2,,,,,,
c1.1,Loc1,c1.1_20170619_173100.jpg,20170619,1731,2,,,,,,
c1.1,Loc1,c1.1_20170619_173200.jpg,20170619,1732,2,,,,,,
c1.1,Loc1,c1.1_20170619_173300.jpg,20170619,1733,2,,,,,,
c1.1,Loc1,c1.1_20170619_173400.jpg,20170619,1734,2,1,,6,,,
c1.1,Loc1,c1.1_20170619_173500.jpg,20170619,1735,2,1,,,,,
c1.1,Loc1,c1.1_20170619_173600.jpg,20170619,1736,2,1,,,,,
